nombre,precio
Manzana Golden kg,2.03
Platano kg,1.53
Naranja kg,1.85
Tomate kg,2.32
Lechuga unidad,0.78
Zanahoria kg,1.27
Patata kg,0.99
Cebolla kg,1.23
Pimiento rojo kg,2.64
Pepino unidad,0.72
Brocoli kg,2.19
Coliflor unidad,2.21
Pechuga pollo kg,5.25
Carne picada ternera kg,7.5
Filete cerdo kg,5.44
Merluza kg,9.89
Salmon kg,12.91
Atun fresco kg,8.69
Jamon serrano 100g,3.46
Leche entera 1L,0.86
Yogur natural pack 4,1.57
Queso manchego 250g,4.42
Mantequilla 250g,2.68
Nata cocinar 200ml,0.99
Huevos docena,2.4
Pan barra 250g,0.69
Croissant unidad,1.13
Magdalenas pack 6,2.01
Galletas Maria 800g,1.83
Arroz 1kg,1.49
Pasta 500g,0.79
Aceite oliva 1L,5.6
Tomate frito 400g,1.08
Atun lata 3pack,3.13
Lentejas bote 500g,1.23
Garbanzos bote 500g,1.27
Agua mineral 1.5L,0.33
Coca Cola 2L,2.06
Zumo naranja 1L,1.43
Cerveza pack 6,3.42
Vino tinto botella,5.66
Cafe molido 250g,3.02
Detergente lavadora 40 dosis,8.88
Suavizante 1.5L,3.26
Lavavajillas 1L,1.95
Lejia 2L,1.52
Fregasuelos 1.5L,2.71
Papel cocina 3 rollos,3.43
Papel higienico 12 rollos,6.44
Servilletas pack 100,1.27
Gel ducha 750ml,2.32
Champu 400ml,4.54
Pasta dientes 75ml,2.26
Desodorante spray,2.57
Jabon manos 300ml,1.54
Crema hidratante 400ml,4.68
Cuchillas afeitar pack 4,5.47
Compresas pack 24,3.65
Panales talla 4 pack 40,14.88
Toallitas bebe pack 3,5.48
Leche bebe 800g,14.83
Potito verduras unidad,1.39
Sarten antiadherente 24cm,11.47
Olla express 6L,44.06
Juego cuchillos 5 piezas,18.58
Tabla cortar,7.78
Tupper pack 3,4.54
Vasos cristal pack 6,9.41
Platos porcelana pack 6,13.08
Cubiertos set 24 piezas,16.35
Toalla bano 70x140,9.46
Sabanas 90cm,16.52
Funda nordica 150cm,26.98
Almohada fibra,7.28
Manta polar,14.17
Alfombra bano,6.96
Auriculares bluetooth,32.06
Cable USB-C 2m,10.39
Raton inalambrico,16.14
Teclado USB,17.75
Memoria USB 32GB,12.4
Cargador movil,15.66
Powerbank 10000mAh,26.71
Funda tablet 10 pulgadas,12.07
Altavoz bluetooth portatil,30.1
Webcam HD,40.43
Batidora mano 600W,22.03
Tostadora 2 ranuras,22.61
Cafetera goteo 12 tazas,31.83
Plancha vapor 2400W,31.13
Secador pelo 2000W,24.6
Bascula cocina digital,13.06
Pienso perro 3kg,11.22
Pienso gato 2kg,11.38
Arena gato 5L,5.04
Snacks perro,3.95
Correa perro,7.94
Comedero doble,8.66
Maceta plastico 30cm,5.69
Tierra plantas 20L,6.79
Semillas tomate,1.97
Regadera 5L,6.17
Guantes jardin,3.45
Manguera 15m,18.33
Boligrafo pack 10,3.04
Cuaderno A4 80 hojas,2.14
Archivador carton,2.55
Tijeras oficina,3.23
Pegamento barra,1.3
Rotuladores pack 12,4.71
Puzzle 1000 piezas,13.41
Pelota futbol,10.97
Muneca 30cm,15.39
Coche teledirigido,25.26
Juego mesa familiar,20.47
Peluche osito,14.07
Manzana Golden kg v2,2.04
Platano kg v2,1.5
Naranja kg v2,1.97
Tomate kg v2,2.73
Lechuga unidad v2,1.01
Zanahoria kg v2,1.18
Patata kg v2,0.99
Cebolla kg v2,1.26
Pimiento rojo kg v2,3.35
Pepino unidad v2,0.75
Brocoli kg v2,2.43
Coliflor unidad v2,2.16
Pechuga pollo kg v2,5.16
Carne picada ternera kg v2,8.38
Filete cerdo kg v2,4.25
Merluza kg v2,9.44
Salmon kg v2,12.12
Atun fresco kg v2,11.21
Jamon serrano 100g v2,3.38
Leche entera 1L v2,0.87
Yogur natural pack 4 v2,1.59
Queso manchego 250g v2,5.08
Mantequilla 250g v2,2.61
Nata cocinar 200ml v2,0.87
Huevos docena v2,2.3
Pan barra 250g v2,0.64
Croissant unidad v2,0.9
Magdalenas pack 6 v2,1.97
Galletas Maria 800g v2,1.7
Arroz 1kg v2,1.46
Pasta 500g v2,0.95
Aceite oliva 1L v2,4.38
Tomate frito 400g v2,1.08
Atun lata 3pack v2,3.36
Lentejas bote 500g v2,1.33
Garbanzos bote 500g v2,1.12
Agua mineral 1.5L v2,0.32
Coca Cola 2L v2,2.21
Zumo naranja 1L v2,1.44
Cerveza pack 6 v2,4.57
Vino tinto botella v2,4.93
Cafe molido 250g v2,3.73
Detergente lavadora 40 dosis v2,7.93
Suavizante 1.5L v2,3.1
Lavavajillas 1L v2,2.21
Lejia 2L v2,1.41
Fregasuelos 1.5L v2,2.85
Papel cocina 3 rollos v2,3.98
Papel higienico 12 rollos v2,5.93
Servilletas pack 100 v2,1.3
Gel ducha 750ml v2,2.35
Champu 400ml v2,3.57
Pasta dientes 75ml v2,1.9
Desodorante spray v2,2.45
Jabon manos 300ml v2,1.59
Crema hidratante 400ml v2,5.2
Cuchillas afeitar pack 4 v2,5.61
Compresas pack 24 v2,3.76
Panales talla 4 pack 40 v2,14.4
Toallitas bebe pack 3 v2,5.09
Leche bebe 800g v2,13.42
Potito verduras unidad v2,1.48
Sarten antiadherente 24cm v2,12.4
Olla express 6L v2,39.85
Juego cuchillos 5 piezas v2,18.12
