id_estudiante,nota
1,0.8
1,4.8
1,3.9
1,1.2
1,3.1
2,7.9
2,2.6
2,5.6
2,1.3
3,3.1
3,0.7
3,7.5
3,3.3
3,6.9
4,4.9
4,2.9
4,1.3
5,5.9
5,4.5
5,9.8
5,3.5
5,1.0
6,0.2
6,3.9
6,8.7
6,9.4
7,0.4
7,8.4
7,7.6
8,8.5
8,0.8
8,10.0
8,1.2
9,8.1
9,1.2
9,9.5
9,3.3
9,9.7
9,6.7
10,7.0
10,1.5
10,3.9
10,1.8
10,5.2
10,7.9
11,6.8
11,6.1
11,3.3
11,1.9
11,1.3
11,2.8
12,8.1
12,2.7
12,9.7
13,9.9
13,0.1
13,0.3
13,2.8
13,1.3
14,2.3
14,5.2
14,3.7
14,8.4
15,5.0
15,7.6
15,4.6
15,4.2
15,2.7
16,7.4
16,8.3
16,6.0
16,4.5
17,0.8
17,9.4
17,4.5
17,0.1
18,3.9
18,2.7
18,5.9
18,6.7
18,1.0
19,7.1
19,5.1
19,9.4
20,9.9
20,6.7
20,7.1
20,0.9
20,9.1
20,3.5
21,8.4
21,3.5
21,5.0
21,4.8
21,8.4
22,2.1
22,7.5
22,7.7
22,5.5
23,3.9
23,6.0
23,0.4
23,4.4
24,9.9
24,6.1
24,4.8
25,6.5
25,2.8
25,8.0
25,8.4
26,1.7
26,6.4
26,5.2
26,9.6
26,9.3
27,3.7
27,5.0
27,0.7
27,8.7
27,8.1
28,5.1
28,8.2
28,0.9
29,4.9
29,8.5
29,9.4
30,7.4
30,0.5
30,9.3
31,4.4
31,6.2
31,2.6
31,3.6
32,0.6
32,8.2
32,9.1
32,2.5
32,6.2
32,2.4
33,2.7
33,9.5
33,6.3
33,6.9
33,9.2
33,0.6
34,9.5
34,2.4
34,5.9
35,9.2
35,6.6
35,9.9
35,9.8
35,3.3
36,6.3
36,8.2
36,2.5
36,0.1
36,6.3
36,3.6
37,2.7
37,2.3
37,2.8
37,3.4
37,2.6
37,2.0
38,0.1
38,6.4
38,6.5
